Column1;Column2;Column3;Column4;Column5;Column6
anit_adi;ilce_adi;mahalle_adi;kultur_donemi;lat;lng
ALÝ RIZA BEY EVÝ;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
HUBER KÖÞKÜ - SET KÖÞKÜ;SARIYER;TARABYA;OSMANLI;41.1307759;29.0619025
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KALYONCU KULLUÐU;;41.049433;28.944783
AHÞAP KONAK;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
YANGIN DUVARI;FATÝH;AYVANSARAY;OSMANLI;41.03543930000001;28.9426752
AHÞAP EV;FATÝH;KALENDERHANE;OSMANLI;41.0588715;28.9948144
AHÞAP BÝNA;BAKIRKÖY;YEÞÝLKÖY;;40.9776484;28.8188948
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;KÜÇÜKÇAMLICA;OSMANLI;41.0142241;29.066357
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;EMÝN SÝNAN;OSMANLI;41.0068163;28.9699665
SURP HARUTYUN ERMENÝ KÝLÝSESÝ - ÇAN KULESÝ;FATÝH;ÞEHSUVAR BEY;;41.0035614;28.9657129
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;KARACAKÖY;OSMANLI;41.1524;29.7687
HENDESE - Ý MÜLKÝYE MEKTEBÝ;BEYOÐLU;SÜTLÜCE;OSMANLI;41.0493392;28.9426752
KUYU KALINTISI;MALTEPE;ÇINAR;OSMANLI;40.9442365;29.11434759999999
ANKARA HANI;BEYOÐLU;KOCATEPE;;41.013284;28.9749262
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HÜSEYÝNAÐA;;41.049433;28.944783
AHÞAP EV;FATÝH;DERVÝÞ ALÝ;OSMANLI;41.0588715;28.9948144
MALTEPE MEZARLIÐI;ZEYTÝNBURNU;MALTEPE;;41.0274893;28.9177239
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KÜÇÜK AYASOFYA;OSMANLI;41.0139702;28.9701897
KARA SURLARI, ÖN SUR, T14A;ZEYTÝNBURNU;KAZLIÇEÞME;ROMA;41.014811;28.922123
DEFTERDAR ÝBRAHÝM PAÞA CAMÝÝ_HAZÝRE;BEÞÝKTAÞ;ORTAKÖY;OSMANLI;41.0511658;29.0331725
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝÞLÝ;HARBÝYE;CUMHURÝYET;41.0521292;28.9665703
EROL APARTMANI;BEYOÐLU;ÇUKUR;OSMANLI;41.0028013;28.868515
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KALYONCU KULLUÐU;OSMANLI;41.049433;28.944783
KÂRGÝR YAPI;BEYOÐLU;ARAP CAMÝ;OSMANLI;41.0236074;28.9710581
AHÞAP EV;SÝLÝVRÝ;FATÝH;;41.020169;28.933864
KOCA RAGIP PAÞA KÜLLÝYESÝ TUVALETLERÝ;FATÝH;MÝMAR KEMALETTÝN;OSMANLI;41.0093932;28.9587891
SÝVÝL MÝMARLIK ÖRNEÐÝ;ADALAR;MADEN;CUMHURÝYET;41.1789064;29.0394778
AHÞAP EV;BEYOÐLU;BEDRETTÝN;CUMHURÝYET;41.0588715;28.9948144
AHÞAP EV;BEYKOZ;ÝNCÝRKÖY;OSMANLI;41.1186879;29.1070773
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;40.9992262;28.9310295
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;CÝHANGÝR;CUMHURÝYET;41.049433;28.944783
HÜSAM ÝBNÝ ABDULLAH KABRÝ;FATÝH;AYVANSARAY;OSMANLI;41.0316727;28.9405122
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;YAHYA KAHYA;CUMHURÝYET;41.049433;28.944783
